vict_descent,total_victims,comm1,comm2,comm3
Hispanic/Latin/Mexican,47026,Vernon Central,South Park,University Park
Black,17151,South Park,Vernon Central,University Park
White,7265,University Park,South Park,Vernon Central
Other,3256,University Park,Vernon Central,South Park
Unknown,2865,University Park,South Park,Vernon Central
Other Asian,1979,University Park,South Park,Vernon Central
American Indian/Alaskan Native,299,University Park,Vernon Central,South Park
Chinese,145,University Park,South Park,Vernon Central
Korean,103,University Park,Vernon Central,South Park
Filipino,56,University Park,Vernon Central,South Park
Japanese,27,University Park,Vernon Central,South Park
Vietnamese,23,University Park,Vernon Central,South Park
AsianIndian,22,University Park,South Park,N/A
Hawaiian,14,University Park,Vernon Central,South Park
Pacific Islander,9,University Park,Vernon Central,South Park
Cambodian,8,Vernon Central,University Park,South Park
Guamanian,7,South Park,University Park,Vernon Central
Laotian,7,Vernon Central,South Park,University Park
Samoan,2,South Park,N/A,N/A
