DIVISION,crime_count,mean_distance
HOLLYWOOD,213080,2.269
VAN NUYS,211457,3.181
WILSHIRE,198150,2.921
SOUTHWEST,186742,2.395
OLYMPIC,180463,1.919
NORTH HOLLYWOOD,171159,2.899
77TH STREET,167323,1.841
PACIFIC,157468,4.162
CENTRAL,154474,1.095
SOUTHEAST,151999,2.681
RAMPART,149675,1.635
TOPANGA,147167,3.601
WEST VALLEY,130933,3.216
HARBOR,126749,3.85
FOOTHILL,122515,4.58
WEST LOS ANGELES,121074,3.313
HOLLENBECK,119329,2.931
NEWTON,109078,1.764
MISSION,109009,3.889
NORTHEAST,105687,4.338
DEVONSHIRE,76349,3.066
